Month,Version,Operating System,Downloads
2024-02,16,,25022747
2024-03,16,,21897871
2024-04,16,,19949174
2024-05,16,,18771343
2024-06,16,,18863346
2024-07,16,,21043220
2024-08,16,,19888161
2024-09,16,,15119745
2024-10,16,,15615730
2024-11,16,,24021628
2024-12,16,,25111202
2025-01,16,,24161489
2025-02,16,,20291020
2025-03,16,,25034788
2025-04,16,,25523168
2025-05,16,,23144682
2025-06,16,,28775130
2025-07,16,,23874411
2025-08,16,,17696069
2021-10,17,,961929
2021-11,17,,2611280
2021-12,17,,2641785
2022-01,17,,3133953
2022-02,17,,3529383
2022-03,17,,4180795
2022-04,17,,2825200
2022-05,17,,1386989
2022-06,17,,1267509
2022-07,17,,1202623
2022-08,17,,1234761
2022-09,17,,1124817
2022-10,17,,1110568
2022-11,17,,1254611
2022-12,17,,1080309
2023-01,17,,1084383
2023-02,17,,1026877
2023-03,17,,1113318
2023-04,17,,915562
2023-05,17,,970177
2023-06,17,,844055
2023-07,17,,753681
2023-08,17,,728119
2023-09,17,,653741
2023-10,17,,629483
2023-11,17,,570907
2023-12,17,,465146
2024-01,17,,503032
2024-02,17,,493678
2024-03,17,,508454
2024-04,17,,472785
2024-05,17,,460908
2024-06,17,,449388
2024-07,17,,422377
2024-08,17,,401677
2024-09,17,,357433
2024-10,17,,350123
2024-11,17,,1065557
2024-12,17,,1465309
2025-01,17,,577464
2025-02,17,,524415
2025-03,17,,668077
2025-04,17,,842785
2025-05,17,,804233
2025-06,17,,1532269
2025-07,17,,807234
2025-08,17,,481111
2022-04,18,,873557
2022-05,18,,2542139
2022-06,18,,2931277
2022-07,18,,3341234
2022-08,18,,3769202
2022-09,18,,4758907
2022-10,18,,6032363
2022-11,18,,11444061
2022-12,18,,10164322
2023-01,18,,13111058
2023-02,18,,17721438
2023-03,18,,25144736
2023-04,18,,25137582
2023-05,18,,29819719
2023-06,18,,33996641
2023-07,18,,37891456
2023-08,18,,43550735
2023-09,18,,45591452
2023-10,18,,49155687
2023-11,18,,46448950
2023-12,18,,34546329
2024-01,18,,39870391
2024-02,18,,45043606
2024-03,18,,50826313
2024-04,18,,51828220
2024-05,18,,50213196
2024-06,18,,46485559
2024-07,18,,50058478
2024-08,18,,42393747
2024-09,18,,40870152
2024-10,18,,55335774
2024-11,18,,67202063
2024-12,18,,58718839
2025-01,18,,61221512
2025-02,18,,55165524
2025-03,18,,61918501
2025-04,18,,55817085
2025-05,18,,49757214
2025-06,18,,49947867
2025-07,18,,44692770
2025-08,18,,37687478
2022-10,19,,1278668
2022-11,19,,3850551
2022-12,19,,3839277
2023-01,19,,4225808
2023-02,19,,4802099
2023-03,19,,5395089
2023-04,19,,3901658
2023-05,19,,1983387
2023-06,19,,1564576
2023-07,19,,1362984
2023-08,19,,1293809
2023-09,19,,1143199
2023-10,19,,1126165
2023-11,19,,952342
2023-12,19,,812635
2024-01,19,,905636
2024-02,19,,792949
2024-03,19,,775900
2024-04,19,,771004
2024-05,19,,759785
2024-06,19,,718085
2024-07,19,,723147
2024-08,19,,656372
2024-09,19,,638195
2024-10,19,,660389
2024-11,19,,1398738
2024-12,19,,1784994
2025-01,19,,1041698
2025-02,19,,969145
2025-03,19,,3485361
2025-04,19,,2035270
2025-05,19,,1706316
2025-06,19,,1639543
2025-07,19,,1002235
2025-08,19,,745505
2023-04,20,,1062138
2023-05,20,,3726636
2023-06,20,,5051717
2023-07,20,,5726349
2023-08,20,,6024987
2023-09,20,,7589328
2023-10,20,,8845011
2023-11,20,,14418220
2023-12,20,,15115157
2024-01,20,,20777843
2024-02,20,,24843766
2024-03,20,,30596060
2024-04,20,,37145054
2024-05,20,,42596804
2024-06,20,,44086815
2024-07,20,,50823693
2024-08,20,,66857769
2024-09,20,,54522387
2024-10,20,,68059075
2024-11,20,,94169884
2024-12,20,,87297688
2025-01,20,,97127100
2025-02,20,,99149678
2025-03,20,,113109838
2025-04,20,,114436664
2025-05,20,,107501181
2025-06,20,,110259676
2025-07,20,,131496233
2025-08,20,,108142600
2023-10,21,,2023290
2023-11,21,,4219928
2023-12,21,,4728563
2024-01,21,,5584623
2024-02,21,,5509917
2024-03,21,,6541211
2024-04,21,,6433989
2024-05,21,,2633225
2024-06,21,,2220910
2024-07,21,,2322566
2024-08,21,,2244385
2024-09,21,,2265597
2024-10,21,,2488613
2024-11,21,,3869351
2024-12,21,,4113796
2025-01,21,,3597639
2025-02,21,,3875032
2025-03,21,,4683438
2025-04,21,,4717865
2025-05,21,,4891059
2025-06,21,,5410961
2025-07,21,,5343524
2025-08,21,,4495268
2024-04,22,,1014273
2024-05,22,,4752658
2024-06,22,,5163639
2024-07,22,,7521641
2024-08,22,,7624166
2024-09,22,,8602125
2024-10,22,,8133143
2024-11,22,,29659685
2024-12,22,,41902249
2025-01,22,,58647419
2025-02,22,,60580425
2025-03,22,,85921954
2025-04,22,,96944192
2025-05,22,,119879961
2025-06,22,,125522681
2025-07,22,,156815803
2025-08,22,,165196828
2024-10,23,,3577464
2024-11,23,,10854861
2024-12,23,,13342835
2025-01,23,,16601503
2025-02,23,,14868644
2025-03,23,,18488878
2025-04,23,,32457222
2025-05,23,,9818453
2025-06,23,,6027029
2025-07,23,,5800818
2025-08,23,,5388795
2025-05,24,,11573379
2025-06,24,,12707302
2025-07,24,,16866569
2025-08,24,,20716370
2021-02,,headers,27518585
2021-03,,headers,32104123
2021-04,,headers,28791304
2021-05,,headers,28985299
2021-06,,headers,30628599
2021-07,,headers,30097872
2021-08,,headers,32411149
2021-09,,headers,32981712
2021-10,,headers,32361816
2021-11,,headers,33580477
2021-12,,headers,31298969
2022-01,,headers,35624073
2022-02,,headers,36348127
2022-03,,headers,40870314
2022-04,,headers,36943258
2022-05,,headers,41291960
2022-06,,headers,43725773
2022-07,,headers,42920442
2022-08,,headers,45938399
2022-09,,headers,44132500
2022-10,,headers,45230700
2022-11,,headers,49475883
2022-12,,headers,41885630
2023-01,,headers,45971010
2023-02,,headers,46762195
2023-03,,headers,57738247
2023-04,,headers,53141988
2023-05,,headers,58930465
2023-06,,headers,60145064
2023-07,,headers,58170724
2023-08,,headers,64013406
2023-09,,headers,59422749
2023-10,,headers,62845405
2023-11,,headers,77215698
2023-12,,headers,53488906
2024-01,,headers,61606784
2024-02,,headers,65086944
2024-03,,headers,71765957
2024-04,,headers,75971575
2024-05,,headers,76873056
2024-06,,headers,74594154
2024-07,,headers,82262410
2024-08,,headers,78236578
2024-09,,headers,76826437
2024-10,,headers,87228162
2024-11,,headers,137570349
2024-12,,headers,136259671
2025-01,,headers,151411923
2025-02,,headers,152973958
2025-03,,headers,184049001
2025-04,,headers,184573748
2025-05,,headers,183393731
2025-06,,headers,196884280
2025-07,,headers,206756784
2025-08,,headers,191854028
2021-02,,linux,19864973
2021-03,,linux,23623384
2021-04,,linux,22016399
2021-05,,linux,24168659
2021-06,,linux,23234890
2021-07,,linux,21805492
2021-08,,linux,23761409
2021-09,,linux,24180912
2021-10,,linux,25494371
2021-11,,linux,24449505
2021-12,,linux,23347450
2022-01,,linux,25457076
2022-02,,linux,26140655
2022-03,,linux,30164862
2022-04,,linux,27798063
2022-05,,linux,29164211
2022-06,,linux,29974843
2022-07,,linux,29599384
2022-08,,linux,33630629
2022-09,,linux,34082028
2022-10,,linux,36113164
2022-11,,linux,42241885
2022-12,,linux,35299704
2023-01,,linux,38790777
2023-02,,linux,43001574
2023-03,,linux,51067335
2023-04,,linux,48348328
2023-05,,linux,52477619
2023-06,,linux,48829690
2023-07,,linux,46987962
2023-08,,linux,55411664
2023-09,,linux,55713340
2023-10,,linux,48424526
2023-11,,linux,37163889
2023-12,,linux,35979977
2024-01,,linux,36010617
2024-02,,linux,36580332
2024-03,,linux,38834010
2024-04,,linux,38207078
2024-05,,linux,38384252
2024-06,,linux,37463850
2024-07,,linux,41773314
2024-08,,linux,37693151
2024-09,,linux,37556432
2024-10,,linux,42695032
2024-11,,linux,74693047
2024-12,,linux,85030542
2025-01,,linux,82993095
2025-02,,linux,80742198
2025-03,,linux,102722738
2025-04,,linux,128272489
2025-05,,linux,139564571
2025-06,,linux,256169446
2025-07,,linux,134743729
2025-08,,linux,114230098
2021-02,,win,29314415
2021-03,,win,8540774
2021-04,,win,6185337
2021-05,,win,6494430
2021-06,,win,6641554
2021-07,,win,6902964
2021-08,,win,6904219
2021-09,,win,6714418
2021-10,,win,6957980
2021-11,,win,6737295
2021-12,,win,6840654
2022-01,,win,7555899
2022-02,,win,7276219
2022-03,,win,8723847
2022-04,,win,7734277
2022-05,,win,8290892
2022-06,,win,8312771
2022-07,,win,8976563
2022-08,,win,9478901
2022-09,,win,9752639
2022-10,,win,10875488
2022-11,,win,12385415
2022-12,,win,9941333
2023-01,,win,10861438
2023-02,,win,12150867
2023-03,,win,13574675
2023-04,,win,12044604
2023-05,,win,12495908
2023-06,,win,12495630
2023-07,,win,12939107
2023-08,,win,13602369
2023-09,,win,12994549
2023-10,,win,13206525
2023-11,,win,11925035
2023-12,,win,11407959
2024-01,,win,12766926
2024-02,,win,12342407
2024-03,,win,12765070
2024-04,,win,13843214
2024-05,,win,14508947
2024-06,,win,14448927
2024-07,,win,18043660
2024-08,,win,31571067
2024-09,,win,14947641
2024-10,,win,31900531
2024-11,,win,36781879
2024-12,,win,30158512
2025-01,,win,32496852
2025-02,,win,30470770
2025-03,,win,36890584
2025-04,,win,37765980
2025-05,,win,43371527
2025-06,,win,40912675
2025-07,,win,69399875
2025-08,,win,64888777
2021-02,,osx,1370923
2021-03,,osx,1579706
2021-04,,osx,1521433
2021-05,,osx,1482193
2021-06,,osx,1486555
2021-07,,osx,1479284
2021-08,,osx,1525736
2021-09,,osx,1449266
2021-10,,osx,1604325
2021-11,,osx,1744545
2021-12,,osx,1722038
2022-01,,osx,1929414
2022-02,,osx,1852950
2022-03,,osx,2110803
2022-04,,osx,1984971
2022-05,,osx,2021435
2022-06,,osx,2004371
2022-07,,osx,2795820
2022-08,,osx,2152239
2022-09,,osx,2099946
2022-10,,osx,3906171
2022-11,,osx,3426861
2022-12,,osx,2060109
2023-01,,osx,2405136
2023-02,,osx,2494382
2023-03,,osx,7996852
2023-04,,osx,3744103
2023-05,,osx,2389599
2023-06,,osx,2533765
2023-07,,osx,2276806
2023-08,,osx,2376493
2023-09,,osx,2448793
2023-10,,osx,2857280
2023-11,,osx,2905615
2023-12,,osx,2351230
2024-01,,osx,2530806
2024-02,,osx,2711858
2024-03,,osx,2843737
2024-04,,osx,2818257
2024-05,,osx,2828578
2024-06,,osx,2497550
2024-07,,osx,2902685
2024-08,,osx,3364507
2024-09,,osx,3220580
2024-10,,osx,2804198
2024-11,,osx,7446308
2024-12,,osx,9858846
2025-01,,osx,6007395
2025-02,,osx,5437020
2025-03,,osx,7005483
2025-04,,osx,6584351
2025-05,,osx,5764845
2025-06,,osx,5906950
2025-07,,osx,7006422
2025-08,,osx,5974580
2021-02,,src,1145162
2021-03,,src,997785
2021-04,,src,845158
2021-05,,src,1128604
2021-06,,src,518516
2021-07,,src,565912
2021-08,,src,512827
2021-09,,src,447223
2021-10,,src,504490
2021-11,,src,608788
2021-12,,src,939664
2022-01,,src,697652
2022-02,,src,630202
2022-03,,src,972643
2022-04,,src,802980
2022-05,,src,1415890
2022-06,,src,2582162
2022-07,,src,1234058
2022-08,,src,786225
2022-09,,src,762179
2022-10,,src,1102970
2022-11,,src,1224323
2022-12,,src,1138830
2023-01,,src,1138182
2023-02,,src,926064
2023-03,,src,891396
2023-04,,src,797463
2023-05,,src,827371
2023-06,,src,850079
2023-07,,src,1162108
2023-08,,src,1070019
2023-09,,src,1289287
2023-10,,src,1756655
2023-11,,src,1659754
2023-12,,src,1598806
2024-01,,src,1533168
2024-02,,src,1313005
2024-03,,src,1412926
2024-04,,src,1663439
2024-05,,src,1655784
2024-06,,src,1303503
2024-07,,src,1034250
2024-08,,src,1026755
2024-09,,src,916231
2024-10,,src,1185581
2024-11,,src,4200851
